Year,Month,Season,Day,Weekend,Hour,Temperature,Pressure,Humidity,Wind_Speed,Rainfall,Load
2019,1,4,1,1,0,15.3,1020.3,97,2,0.5,1773.6
2019,1,4,1,1,1,15.3,1020,97,2.1,1,1675.2
2019,1,4,1,1,2,15.3,1019.4,97,2.3,0.5,1677.6
2019,1,4,1,1,3,15.3,1019.2,97,2.2,0,1706.4
2019,1,4,1,1,4,15.2,1019.2,97,1.9,0.5,1665.6
2019,1,4,1,1,5,15.2,1019.8,97,2.4,0.5,1754.4
2019,1,4,1,1,6,15.2,1020.4,97,2.5,1,1773.6
2019,1,4,1,1,7,15.3,1021.3,97,2.1,0,1999.2
2019,1,4,1,1,8,15.5,1021.7,96,2.6,0.5,2097.6
2019,1,4,1,1,9,15.5,1021.6,96,2.4,0.5,2114.4
2019,1,4,1,1,10,15.4,1021.1,95,2.1,0,2150.4
2019,1,4,1,1,11,15.4,1019.7,95,1.7,0,2181.6
2019,1,4,1,1,12,15.4,1018.8,95,2.7,0.5,2224.8
2019,1,4,1,1,13,15.7,1018.2,93,3,0,2244
2019,1,4,1,1,14,15.5,1018.5,94,2.4,0,2220
2019,1,4,1,1,15,15.5,1019.1,95,2,0,2277.6
2019,1,4,1,1,16,15.1,1019.8,95,2.6,0,2248.8
2019,1,4,1,1,17,15.1,1019.7,96,2.6,0.5,2260.8
2019,1,4,1,1,18,15.2,1019.5,95,3.3,0,2270.4
2019,1,4,1,1,19,15.3,1019.8,96,2.7,0.5,2133.6
2019,1,4,1,1,20,15.1,1020,96,2.1,0,1975.2
2019,1,4,1,1,21,15.3,1019.9,96,2.6,0.5,1869.6
2019,1,4,1,1,22,15.1,1019.7,97,2.5,0.5,1725.6
2019,1,4,1,1,23,15.1,1019.9,97,3.1,0.5,1716
2019,1,4,2,0,0,15,1019.7,97,2.6,0.5,1668
2019,1,4,2,0,1,15,1019.6,97,1.7,0,1617.6
2019,1,4,2,0,2,15,1019.2,96,1.9,0.5,1696.8
2019,1,4,2,0,3,15,1018.8,96,2.4,0,1692
2019,1,4,2,0,4,15.1,1018.6,97,2.3,0.5,1692
2019,1,4,2,0,5,15.3,1019.3,96,1.5,0,1984.8
2019,1,4,2,0,6,15.5,1020.3,96,2.3,0.5,2239.2
2019,1,4,2,0,7,15.8,1020.6,97,2.4,0.5,4125.6
2019,1,4,2,0,8,15.8,1020.7,97,2.6,1,5721.6
2019,1,4,2,0,9,16,1020.7,96,2.5,0.5,6081.6
2019,1,4,2,0,10,16.1,1019.6,94,2.6,0,6096
2019,1,4,2,0,11,16.6,1018.2,94,2.4,0,6108
2019,1,4,2,0,12,16.9,1017.2,90,2.8,0,5760
2019,1,4,2,0,13,17,1016.4,90,1.9,0,6297.6
2019,1,4,2,0,14,16.7,1016.6,92,2.9,0,6163.2
2019,1,4,2,0,15,16.9,1016.8,94,2.3,0,6115.2
2019,1,4,2,0,16,17.1,1017.4,95,2.4,0,6151.2
2019,1,4,2,0,17,16.9,1017.6,96,2.6,0.5,6141.6
2019,1,4,2,0,18,16.9,1018.1,97,2,0.5,5102.4
2019,1,4,2,0,19,17.1,1018.4,97,2.1,0.5,3722.4
2019,1,4,2,0,20,17.3,1018.1,97,2.1,0.5,3189.6
2019,1,4,2,0,21,17.3,1018.2,97,1.1,0.5,2784
2019,1,4,2,0,22,17,1018,97,1.8,0.5,2280
2019,1,4,2,0,23,16.9,1018.2,97,1.8,0.5,2035.2
2019,1,4,3,0,0,17,1018.2,97,1.4,0.5,1876.8
2019,1,4,3,0,1,16.8,1017.7,97,1.7,1.5,1860
2019,1,4,3,0,2,16.8,1017.7,97,0.9,0.5,1833.6
2019,1,4,3,0,3,16.8,1017.7,97,1,0.5,1845.6
2019,1,4,3,0,4,16.6,1018.2,97,1.6,1,1833.6
2019,1,4,3,0,5,16.7,1018,97,1.9,1,2119.2
2019,1,4,3,0,6,16.8,1018.6,97,1.7,1,2431.2
2019,1,4,3,0,7,16.9,1019.7,97,2.2,1,4267.2
2019,1,4,3,0,8,17,1020.2,97,2.1,1,5956.8
2019,1,4,3,0,9,17.4,1020.1,96,2.5,0.5,6348
2019,1,4,3,0,10,17.4,1019.5,96,1.7,0,6381.6
2019,1,4,3,0,11,17.7,1018.6,95,2.6,0,6367.2
2019,1,4,3,0,12,18,1017.9,94,1.7,0.5,6172.8
2019,1,4,3,0,13,18,1017.3,94,2.3,0,6532.8
2019,1,4,3,0,14,17.9,1017.2,94,2.5,0,6439.2
2019,1,4,3,0,15,18.1,1017.7,94,1.6,0,6456
2019,1,4,3,0,16,17.9,1018,95,2.8,0,6252
2019,1,4,3,0,17,17.9,1018.2,97,1.9,0,6432
2019,1,4,3,0,18,18.1,1018.7,96,2.3,0,5236.8
2019,1,4,3,0,19,18.2,1018.2,96,2.9,0,4020
